date,sales,stock_after_simulation
2003-01-06,151,349
2003-01-09,142,207
2003-01-10,80,627
2003-01-29,541,586
2003-01-31,443,643
2003-02-11,545,598
2003-02-17,675,423
2003-02-24,229,194
2003-03-03,561,133
2003-03-10,212,421
2003-03-18,570,351
2003-03-24,52,299
2003-03-25,217,582
2003-03-26,143,439
2003-04-01,351,588
2003-04-04,210,378
2003-04-11,27,351
2003-04-16,402,449
2003-04-21,36,413
2003-04-28,442,471
2003-04-29,525,446
2003-05-07,185,261
2003-05-08,545,216
2003-05-20,156,560
2003-05-21,514,546
2003-05-28,617,429
2003-06-03,540,389
2003-06-06,157,232
2003-06-12,349,383
2003-06-16,317,566
2003-06-27,286,280
2003-07-01,227,553
2003-07-02,607,446
2003-07-04,102,344
2003-07-10,138,206
2003-07-16,266,440
2003-07-24,385,555
2003-08-01,290,265
2003-08-08,577,188
2003-08-10,524,164
2003-08-13,20,644
2003-08-25,563,581
2003-09-03,76,505
2003-09-05,341,164
2003-09-11,430,234
2003-09-12,367,367
2003-09-19,380,487
2003-09-21,342,645
2003-09-25,116,529
2003-09-28,458,571
2003-10-02,67,504
2003-10-04,251,253
2003-10-05,369,384
2003-10-06,700,184
2003-10-08,68,616
2003-10-10,607,509
2003-10-11,231,278
2003-10-17,358,420
2003-10-18,391,529
2003-10-20,225,304
2003-10-21,386,418
2003-10-22,670,248
2003-10-23,550,198
2003-10-28,642,56
2003-11-04,586,-30
2003-11-05,888,-418
2003-11-06,977,-895
2003-11-07,377,-772
2003-11-08,413,-685
2003-11-11,458,-643
2003-11-12,1093,-1236
2003-11-13,391,-1127
2003-11-14,1306,-1933
2003-11-18,329,-1762
2003-11-19,170,-1432
2003-11-20,902,-1834
2003-11-21,447,-1781
2003-11-25,781,-2062
2003-11-26,819,-2381
2003-11-27,242,-2123
2003-12-01,329,-1952
2003-12-02,1010,-2462
2003-12-03,180,-2142
2003-12-05,355,-1997
2003-12-09,615,-2112
2004-01-02,530,-2142
2004-01-09,269,-1911
2004-01-12,577,-1988
2004-01-15,530,-2018
2004-01-16,612,-2130
2004-01-22,90,-1720
2004-01-26,241,-1461
2004-01-29,396,-1357
2004-02-02,43,-900
2004-02-04,240,-640
2004-02-10,147,-287
2004-02-12,289,-76
2004-02-18,167,257
2004-02-19,717,40
2004-02-20,497,43
2004-02-21,241,302
2004-02-22,483,319
2004-02-26,237,582
2004-03-02,502,580
2004-03-10,194,386
2004-03-11,476,410
2004-03-15,338,572
2004-03-19,91,481
2004-03-20,272,209
2004-03-29,105,604
2004-04-02,390,214
2004-04-03,81,633
2004-04-05,239,394
2004-04-09,280,614
2004-04-12,163,451
2004-04-13,497,454
2004-04-20,46,408
2004-04-26,80,328
2004-04-29,301,527
2004-05-04,320,207
2004-05-05,632,75
2004-05-07,454,121
2004-05-08,163,458
2004-05-11,521,437
2004-05-18,216,221
2004-05-26,312,409
2004-06-01,429,480
2004-06-04,61,419
2004-06-08,63,356
2004-06-14,208,648
2004-06-15,654,494
2004-06-17,287,207
2004-06-24,605,102
2004-06-28,411,191
2004-06-30,253,438
2004-07-02,94,344
2004-07-06,495,349
2004-07-07,244,605
2004-07-16,80,525
2004-07-19,374,151
2004-07-20,607,44
2004-07-21,679,-135
2004-07-23,601,-236
2004-08-02,527,-263
2004-08-04,28,209
2004-08-06,318,391
2004-08-09,236,155
2004-08-17,551,104
2004-08-19,449,155
2004-08-20,930,-275
2004-08-21,418,-193
2004-08-27,474,-167
2004-08-28,38,295
2004-08-30,595,200
2004-09-01,475,225
2004-09-03,150,575
2004-09-07,71,504
2004-09-08,909,95
2004-09-09,292,303
2004-09-10,219,584
2004-09-15,401,183
2004-09-16,201,482
2004-09-27,71,411
2004-09-30,382,529
2004-10-06,70,459
2004-10-11,594,365
2004-10-13,502,363
2004-10-14,864,-1
2004-10-15,734,-235
2004-10-16,1002,-737
2004-10-21,601,-838
2004-10-22,872,-1210
2004-10-29,244,-954
2004-11-01,928,-1382
2004-11-02,407,-1289
2004-11-03,490,-1279
2004-11-04,1002,-1781
2004-11-05,877,-2158
2004-11-09,223,-1881
2004-11-10,253,-1634
2004-11-12,495,-1629
2004-11-15,532,-1661
2004-11-16,158,-1319
2004-11-17,1058,-1877
2004-11-18,261,-1638
2004-11-19,334,-1472
2004-11-20,447,-1419
2004-11-21,285,-1204
2004-11-22,114,-818
2004-11-23,614,-932
2004-11-24,1365,-1797
2004-11-25,254,-1551
2004-11-29,581,-1632
2004-12-01,372,-1504
2004-12-02,554,-1558
2004-12-03,299,-1357
2004-12-04,346,-1203
2004-12-07,338,-1041
2004-12-09,301,-842
2004-12-10,875,-1217
2004-12-15,290,-1007
2004-12-17,429,-936
2005-01-05,117,-553
2005-01-06,556,-609
2005-01-07,96,-205
2005-01-10,117,178
2005-01-12,469,209
2005-01-19,183,526
2005-01-20,549,477
2005-01-23,382,595
2005-01-26,321,274
2005-01-31,605,169
2005-02-02,209,460
2005-02-03,560,400
2005-02-08,35,365
2005-02-09,215,150
2005-02-10,536,114
2005-02-16,438,176
2005-02-17,768,-92
2005-02-22,416,-8
2005-02-23,154,338
2005-02-28,62,276
2005-03-01,650,126
2005-03-02,44,582
2005-03-03,631,451
2005-03-04,603,348
2005-03-09,339,509
2005-03-10,102,407
2005-03-15,239,168
2005-03-17,156,512
2005-03-23,287,225
2005-03-28,172,553
2005-03-30,629,424
2005-04-01,356,568
2005-04-03,585,483
2005-04-07,159,324
2005-04-08,371,453
2005-04-14,336,617
2005-04-15,174,443
2005-04-22,586,357
2005-04-23,67,290
2005-05-01,285,505
2005-05-03,455,550
2005-05-05,229,321
2005-05-06,506,315
2005-05-09,164,151
2005-05-10,460,191
2005-05-13,259,432
2005-05-17,509,423
2005-05-29,607,316
2005-05-30,187,629
2005-05-31,696,433
